6.5,73,23,wheat
6.7,57,22,wheat
6.3,57,24,wheat
6.3,72,25,wheat
6.7,53,23,wheat
6.5,75,22,wheat
6.4,68,23,wheat
6.4,75,23,wheat
6.7,50,26,wheat
6.6,54,26,wheat
6.7,52,22,wheat
6.3,52,26,wheat
6.4,57,23,wheat
6.5,57,22,wheat
6.4,66,25,wheat
6.8,72,22,wheat
6.5,65,23,wheat
6.7,55,23,wheat
6.6,68,23,wheat
6.3,73,22,wheat
6.3,54,21,wheat
6.7,61,22,wheat
6.4,75,26,wheat
6.3,54,24,wheat
6.6,60,24,wheat
6.4,55,26,wheat
6.4,53,26,wheat
6.6,69,21,wheat
6.4,50,21,wheat
6.4,74,22,wheat
6.5,64,22,wheat
6.8,50,25,wheat
6.3,64,26,wheat
6.4,65,25,wheat
6.5,56,23,wheat
6.2,60,25,wheat
6.7,67,24,wheat
6.8,55,22,wheat
6.2,52,24,wheat
6.4,51,22,wheat
6.7,60,23,wheat
6.4,53,25,wheat
6.2,67,24,wheat
6.2,68,26,wheat
6.7,61,24,wheat
6.8,71,23,wheat
6.5,65,23,wheat
6.6,69,24,wheat
6.6,62,24,wheat
6.3,71,22,wheat
6.8,75,23,wheat
6.3,73,25,wheat
6.7,73,21,wheat
6.6,57,22,wheat
6.7,58,26,wheat
6.8,62,26,wheat
6.4,53,21,wheat
6.6,67,25,wheat
6.4,72,21,wheat
6.4,62,23,wheat
6.7,63,26,wheat
6.5,52,25,wheat
6.5,74,25,wheat
6.3,50,21,wheat
6.4,65,22,wheat
6.4,63,22,wheat
6.3,69,25,wheat
6.5,55,25,wheat
6.7,65,23,wheat
6.7,61,22,wheat
6.8,75,23,wheat
6.5,70,22,wheat
6.5,62,24,wheat
6.2,54,26,wheat
6.3,72,21,wheat
6.5,65,23,wheat
6.7,51,21,wheat
6.5,69,24,wheat
6.2,74,22,wheat
6.3,50,21,wheat
6.3,73,21,wheat
6.5,50,21,wheat
6.4,51,22,wheat
6.8,52,24,wheat
6.6,73,24,wheat
6.4,59,25,wheat
6.3,72,24,wheat
6.4,67,26,wheat
6.5,64,22,wheat
6.6,59,26,wheat
6.7,64,22,wheat
6.6,55,26,wheat
6.6,68,22,wheat
6.3,73,23,wheat
6.7,53,23,wheat
6.7,61,21,wheat
6.4,64,23,wheat
6.4,59,25,wheat
6.3,72,23,wheat
6.4,67,26,wheat
